x,y
7400.0,691981.2044687689
7680.0,636628.0778452875
7840.0,624447.1431919893
8000.0,568005.360883381
8160.0,557677.6133989274
8200.0,545152.4014306224
8320.0,540802.3199562439
8560.0,506523.68424310535
8680.0,484258.8992436409
8880.0,470201.53980741196
8960.0,460191.7080829539
9080.0,453736.26326048013
9280.0,426693.41939327755
9440.0,421036.7591532542
9480.0,416145.3957273311
9600.0,413938.46512218483
9680.0,412822.6842127335
9760.0,403744.46742264397
9840.0,395748.5963118809
9920.0,385984.281448944
9960.0,383934.9680725937
10040.0,383591.8095670433
10080.0,380039.2479678087
10120.0,379563.4193103987
10160.0,376534.27151914383
10240.0,372760.32199105335
10360.0,367582.15466036345
10520.0,353877.79485231364
10560.0,353632.63380911684
10640.0,350241.8384380938
10680.0,349277.4840363559
10760.0,347634.741700492
10840.0,346457.4759904244
10880.0,345077.55381803494
10920.0,344472.18282527546
10960.0,341723.1970494571
11000.0,339556.44899841567
11120.0,329532.9193533297
11160.0,328442.01914423803
11240.0,326362.57564861374
11360.0,324457.24471203476
11400.0,323447.85676010785
11440.0,323069.6140289808
11480.0,321559.5823405336
11520.0,320676.567690122
11560.0,318664.88987414783
11720.0,314723.0516930857
11760.0,309273.9638799386
11840.0,309141.65452297876
11880.0,308014.5129951498
11920.0,306898.22512508114
11960.0,306727.84239265736
12080.0,304112.7067003465
12160.0,301056.3370505436
12280.0,296174.5450416759
12360.0,296052.0512533673
12440.0,294203.9987303002
12480.0,294169.34816833254
12600.0,291618.9002711385
12760.0,286846.9002373637
12840.0,286160.304901403
12920.0,285385.2040229901
13040.0,283597.3457706969
13280.0,279320.7370086797
